                                             TABLE_NAME            COLUMN_NAME
379                     Vis_LcVw_EstadisClienteArticulo               Unidades
380                                  IOF_TmpXMLDatEstad         RazonSocialImp
381                   Vis_LcVw_EstadisProveedorArticulo            RazonSocial
382                   Vis_LcVw_EstadisProveedorArticulo               Unidades
383                                   GTM_ArticuloOrden               Unidades
384                              TmpIME_ImputacionesPSV               Unidades
385                         AuxControlArticulosAlquiler               Unidades
386                                  CE_RegistroPrecios               Unidades
387                       VIS_NOM_AEM_PiramideAntiFecha    razonsocialempleado
388                                        Reparaciones               Unidades
389                                  EmpresasSageActive  RazonSocialSageActive
390                       VIS_NOM_AEM_PiramideEdadFecha    razonsocialempleado
391                                   Clientes_10122024            RazonSocial
392                                   Clientes_10122024           RazonSocial2
393                                  IOF_SocCalculoHCar    RazonSocialEmpleado
394                         Vis_PackingListEdi_Cabecera            RazonSocial
395                         Vis_PackingListEdi_Cabecera      RazonSocialEnvios
396                         Vis_PackingListEdi_Cabecera           RazonSocial2
397                         Vis_PackingListEdi_Cabecera     RazonSocial2Envios
398                             LcClienteEmpleadoGastos               Unidades
399                                   ENT_TmpCertSocios    RazonSocialEmpleado
400                                       IOF_03xSocios    RazonSocialEmpleado
401                                     EST_TmpMovLibro            RazonSocial
402                                      IOF_Tmp200Cert    RazonSocialEmpleado
403                                ContrataCodigosError            CodigoError
404                                ContrataCodigosError       DescripcionError
405                                         ErroresXBRL           MemTipoError
406                                         ErroresXBRL             OrdenError
407                                         ErroresXBRL            CuadroError
408                                         ErroresXBRL         CondicionError
409                                         ErroresXBRL    MemDescripcionError
410                               Vis_ImputacionesCoste               Unidades
411                               Vis_ImputacionesCoste            RazonSocial
412                               Vis_ImputacionesCoste           RazonSocial2
413                              InformePasswordsNuevos    RazonSocialEmpleado
414                                 TemporalNomSalarial            RazonSocial
415                                          Domicilios            RazonSocial
416                                          Domicilios           RazonSocial2
417                                          IOF_SocTFI    RazonSocialEmpleado
418                                        EstadisVenta               Unidades
419                                IOF_TmpXMLDatIdentif   RazonSocialPJuridica
420                                  Vis_SumCostePartes               Unidades
421                                  Vis_SumCostePartes            RazonSocial
422                                  Vis_SumCostePartes           RazonSocial2
423                                    AntSaldosCliente            RazonSocial
424                       VIs_KPI_VentasPErsonaAsignada            RazonSocial
425                              Vis_SimulacionClientes            RazonSocial
426                              Vis_SimulacionClientes      RazonSocialEnvios
427                              Vis_SimulacionClientes           RazonSocial2
428                              Vis_SimulacionClientes     RazonSocial2Envios
429                              Vis_SimulacionClientes               Unidades
430                                      RHH_Candidatos    RazonSocialEmpleado
431                                   PedidosConAlbaran            RazonSocial
432                           Vis_SimulacionProveedores            RazonSocial
433                           Vis_SimulacionProveedores           RazonSocial2
434                           Vis_SimulacionProveedores               Unidades
435                                  INR_Contribuyentes    RazonSocialEmpleado
436                                         Proveedores            RazonSocial
