CodigoArticulo;StockActual;CodigoAlmacen;PrecioMedio;FechaUltimaEntrada;FechaUltimaSalida
USB412-1;0E-10;001;1.0567379679;2025-12-18 00:00:00;2025-12-19 00:00:00
USB-ACOD-000/00;1.0000000000;001;6.9930000000;2025-03-25 00:00:00;
USBC-1;6.0000000000;001;0.0347000000;;
USBC-10;2013.0000000000;001;0.0311000000;;
USBC-11;7.0000000000;001;0.0385000000;;
USBC-13;6.0000000000;001;0.0363000000;;
USBC-14(B);7.0000000000;001;0.0311000000;;
USBC-15;20.0000000000;001;0.0206000000;;
USBC-16;8.0000000000;001;0.0264000000;;
USBC-24;19.0000000000;001;0.0330000000;;
USBC-25;10.0000000000;001;0.0231000000;;
USBC-3;8.0000000000;001;0.0311000000;;
USBC-30;10.0000000000;001;0.1107000000;;
USBC-33;6.0000000000;001;0.0330000000;;
USBC-34(B);7.0000000000;001;0.0330000000;;
USBC-6;7.0000000000;001;0.0578000000;;
USBC-8;12.0000000000;001;0.0347000000;;
USBC-9;25.0000000000;001;0.0297000000;;
V-100;5.0000000000;001;0.1909000000;;
VCP02012BK;2994.0000000000;001;0.0262224090;;2025-12-09 00:00:00
VCP02607BK;10.0000000000;001;0.0153000000;;
VCP02608BK;10.0000000000;001;0.0363000000;;
VCP02609BK;10.0000000000;001;0.0153000000;;
VCP02655BK;10.0000000000;001;0.0153000000;;
VCP04006BK;10.0000000000;001;0.0382000000;;
VCP04008BK;10.0000000000;001;0.0004000000;;
VCP05708BK;10.0000000000;001;0.0420000000;;
VCP07013BK;1010.0000000000;001;0.0168000000;;
VE-1155-1U;3.0000000000;001;8.0800000000;;
VE-1155-B;2.0000000000;001;4.6500000000;;
VE-120X120LN;1.0000000000;001;3.5500000000;;
VE-12X12;6.0000000000;001;1.4432000000;;
VE-40X40X10;7.0000000000;001;1.5500000000;;
VE-40X40X20;1.0000000000;001;2.5600000000;;
VE-60;170.0000000000;001;2.2071000000;;
VE-60X60X15;9.0000000000;001;8.0000000000;;
VE-70/FG;2.0000000000;001;0.3650000000;2025-10-09 00:00:00;2025-11-06 00:00:00
VE-70X70X25;2.0000000000;001;4.1000000000;2025-10-09 00:00:00;2025-11-06 00:00:00
VE-775;9.0000000000;001;5.2635000000;;
VE-80/FG;36.0000000000;001;0.6896000000;2025-12-11 00:00:00;
VE-80X80X10;3.0000000000;001;6.0800000000;;
VE-80X80X32;5.0000000000;001;13.3350000000;;
